id,page_no,maker,title,recall_id,ctype,maker_detail,car_name,car_name_full,생산기간,시정기간,대상수량,장치분류,결함내용,시정방법,기타문의
390,97,기아,니로EV - 세이프티 플러그 관련 리콜,5354,O,기아 주식회사,니로EV (DE EV),니로EV (DE EV),2019-10-08 ~ 2022-02-08,2024-08-28 ~,57 대,전기장치 기타,"세이프티 플러그 제조 불량이 있을 수 있으며, 이런 경우 세이프티 플러그의 비정상적인 과열로 인한 소손 발생 및 차량 주행 불가 가능성에 따른 리콜",세이프티 플러그 제거 후 동일 기능의 퓨즈박스 부품으로 교환,기아자동차 대표번호 080-200-2000
391,98,테슬라,Model Y 등 4차종 - 후드 관련 리콜,5349,O,테슬라코리아 유한회사,"Model Y, Model 3, Model X, Model S","Model Y, Model 3, Model X, Model S",2020-12-08 ~ 2024-07-10,2024-08-22 ~,"66,489 대",차체/차대 기타,"소프트웨어 오루로 운전자가 후드를 열었을 때, 차량의 잠금 장치가 열린 상태를 감지하지 못하는 경우 운전자에게 후드 열림 상태를 알리지 못할 수 있으며 이런 경우 운전자가 후드 열림 상태를 인지하지 못한 채 주행할 경우 후드가 완전히 열려 운전자의 시야를 가려 충돌 위험이 증가할 수 있는 가능성에 따른 리콜
<대상차량별 생산일자>
Model Y: 2020.12.08~2024.06.25
Model 3: 2021.01.14~2024.07.10
Model X: 2023.01.11~2024.04.30
Model S: 2023.02.11~2024.04.26","OTA(over-the-air)를 통한 2024.20.3 또는 이후 버전으로 업데이트
(후드 열림 상태 감지 및 운전자 알림)
<단, 일부 차량의 경우 업데이트 조치가 이미 완료되어, 추가 조치가 필요하지 않을 수 있으므로 자세한 사항은 제작사 고객센터(080-617-1399)로 문의하여 주시기 바랍니다.>",테슬라코리아 대표번호 080-617-1399
392,98,비엠더블유,BMW X3 M 등 13차종 - 트렁크 내 적재물 고정장치 레일 관련 리콜,5332,O,비엠더블유코리아(주),"BMW X3 M, BMW X3 M Competition, BMW X3 M40i, BMW X3 M40I A, BMW X3 SDRIV A, BMW X3 XDRIV A, BMW X3 xDrive20d, BMW X3 xDrive20d M Sport Package, BMW X3 xDrive20i, BMW X3 xDrive20i Luxury, BMW X3 xDrive30d, BMW X3 xDrive30d M Sport Package, BMW X3 xDrive30i","BMW X3 M, BMW X3 M Competition, BMW X3 M40i, BMW X3 M40I A, BMW X3 SDRIV A, BMW X3 XDRIV A, BMW X3 xDrive20d, BMW X3 xDrive20d M Sport Package, BMW X3 xDrive20i, BMW X3 xDrive20i Luxury, BMW X3 xDrive30d, BMW X3 xDrive30d M Sport Package, BMW X3 xDrive30i",2017-08-28 ~ 2024-05-30,2024-08-22 ~,"25,761 대",승차 및 실내장치 기타,"고정장치 레일 뒤쪽 고정볼트의 설계 불량으로 인해 후방 충격 사고 발생 시 고정볼트가 파손될 수 있으며, 이런 경우 고정장치 레일이 설계 시 의도된 바와 같이 변형되지 않고 이탈되어 뒷좌석 등받이를 손상시킬 수 있어 탑승자의 부상 위험이 확인됨에 따른 리콜
<대상차량별 생산일자>
BMW X3 M: 2021.08.26~2021.08.26
BMW X3 M Competition: 2021.07.31~2024.05.16
BMW X3 M Competition: 2019.04.25~2021.07.23
BMW X3 M40i: 2021.08.23~2024.05.29
BMW X3 M40i: 2022.04.01~2022.04.01
BMW X3 M40i: 2020.03.17~2021.07.27
BMW X3 M40I A: 2018.05.09~2019.04.26
BMW X3 M40I A: 2019.09.21~2021.07.22
BMW X3 SDRIV A: 2018.04.23~2018.10.15
BMW X3 SDRIV A: 2020.01.12~2021.06.23
BMW X3 XDRIV A: 2018.05.02~2018.05.02
BMW X3 XDRIV A: 2018.08.03~2018.08.03
BMW X3 XDRIV A: 2017.11.08~2019.07.11
BMW X3 XDRIV A: 2020.03.24~2021.06.12
BMW X3 xDrive20d: 2021.07.28~2024.05.28
BMW X3 xDrive20d M Sport Package: 2017.08.28~2019.03.25
BMW X3 xDrive20d M Sport Package: 2019.03.11~2021.07.24
BMW X3 xDrive20i: 2021.07.15~2024.05.30
BMW X3 xDrive20i Luxury: 2019.07.29~2021.07.28
BMW X3 xDrive30d: 2020.08.28~2020.10.23
BMW X3 xDrive30d M Sport Package: 2017.09.06~2020.06.25
BMW X3 xDrive30i: 2021.08.03~2022.07.15",트렁크 내 고정장치 레일 뒤쪽 고정부에 와셔를 추가 장착하고 강건성이 증대된 고정볼트로 교체함,비엠더블유 대표번호 080-269-5181
393,98,기아,프라이드 - 전자제어유압장치(HECU) 관련 리콜,5347,O,기아 주식회사,프라이드 (UB),프라이드 (UB),2011-09-01 ~ 2017-03-31,2024-08-19 ~,"36,351 대",제동장치 기타,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성에 따른 리콜,"엔진룸 정션박스내 HECU 관련 퓨즈를 개선품으로 교환
(합선 발생 시 전원 차단하여 소손 예방)",기아자동차 대표번호 080-200-2000
394,98,벤츠,CLA 250 4MATIC 등 4차종 - 구동전동기 회전수 관련 리콜,5346,O,메르세데스벤츠코리아(주),"CLA 250 4MATIC , AMG A 35 4MATIC , GLB 250 4MATIC , AMG GLB 35 4MATIC","CLA 250 4MATIC , AMG A 35 4MATIC , GLB 250 4MATIC , AMG GLB 35 4MATIC",2023-01-30 ~ 2024-03-04,2024-08-16 ~,"1,313 대",원동기(동력발생장치) 기타,"문서화 작업 오류로 인하여 자기 인증 시 제원 통보된 구동전동기 회전수 값이 잘못 제출됨이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제106조(원동기 출력)에서 정하는 기준에 부적합한 것으로 확인됨. 구동전동기 출력 및 회전수는 허용 오차가 -5%이내여야 하나, 제원 통보된 구동전동기 회전수의 경우 제원의 허용차를 37.3%를 초과하였음 (제원 통보 구동전동기 회전수 7000rpm -> 실제 회전수 5100rpm))","경제적 보상
(1) 보상 금액: 1대당 100,000원
* 보상 금액은 시정조치를 갈음하여 비용을 기준으로 책정되었습니다.
(2) 수령 방법: 자동차 등록증, 차량 등록증상 소유주 신분증 사본, 소유주 명의의 통장 사본 및 필요에 따른 문서를 구비하여 메르세데스-벤츠 공식 서비스센터에 방문하면 경제적 보상을 신청할 수 있습니다.",벤츠코리아 대표번호 080-001-1886
395,99,현대,싼타페 등 2차종 - 차체 하단 와이어링(배선) 관련 리콜,5343,O,현대자동차(주),"싼타페 (MX5), 싼타페 하이브리드 (MX5 HEV)","싼타페 (MX5), 싼타페 하이브리드 (MX5 HEV)",2023-03-09 ~ 2024-07-18,2024-08-16 ~,"43,926 대",전기장치 기타,"차체 하단 와이어링(배선) 경로 설계 불량으로 인해 2열 시트를 접을 시 와이어링(배선)과 시트 회전 장치가 간섭될 수 있으며, 이런 경우 2열 사이드 에어백 오전개 및 미전개 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
싼타페 (MX5): 2023.03.09~2024.07.09
싼타페 하이브리드 (MX5 HEV): 2023.03.20~2024.07.18",와이어링(배선) 고정점 추가 (필요 시 배선 교환),현대자동차 대표번호 080-600-6000
396,99,벤츠,GLE 450 4MATIC - 연료펌프 관련 리콜,5337,O,메르세데스벤츠코리아(주),GLE 450 4MATIC,GLE 450 4MATIC,2022-03-01 ~ 2022-11-22,2024-08-16 ~,689 대,연료장치 기타,"연료 펌프 내부 임펠러(impeller)의 내구성이 부족하여 작동 중 변형될 수 있고, 이러한 경우 연료 펌프 하우징 내부 벽면에 닿아 연료 펌프가 정상적으로 작동하지 않을 수 있음. 연료 펌프가 정상적으로 작동되지 않을 경우, 연료 공급이 중단되어 시동이 꺼져 사고의 위험이 증가할 수 있는 가능성에 따른 리콜",연료펌프 교체,벤츠코리아 대표번호 080-001-1886
397,99,현대,엑시언트 수소전기트럭 - 스티어링 기어박스내 조향 피트먼암 고정너트 관련 리콜,5341,O,현대자동차(주),엑시언트 수소전기트럭 (QZ FCEV),엑시언트 수소전기트럭 (QZ FCEV),2021-12-06 ~ 2024-06-10,2024-08-14 ~,38 대,조향장치 기타,"스티어링 기어박스내 조향 피트먼암 고정너트 작업불량으로 고정너트의 체결력이 저하되어, 피트먼암이 이탈될 시 조향불가로 차량 조종 및 제어가 되지 않을 수 있는 가능성에 따른 리콜",점검 후 고정너트 체결 재작업,현대자동차 대표번호 080-600-6000
398,99,현대,팰리세이드 - 엔진룸 배선 접지용(GND) 볼트 관련 리콜,5338,O,현대자동차(주),팰리세이드 (LX2),팰리세이드 (LX2),2024-06-21 ~ 2024-07-05,2024-08-12 ~,48 대,기타장치 기타,접지용(GND) 볼트 체결 불량(불완전 조립)으로 지속 운행 시 시동불량 및 주행 중 시동꺼짐 가능성이 확인됨에 따른 리콜,접지용 볼트(GND) 교체,현대자동차 대표번호 080-600-6000
399,100,케이지엠커머셜,스마트110E - 조향장치의 링크 연결 브라켓 관련 리콜,5330,O,케이지모빌리티커머셜 주식회사,스마트110E (전기버스),스마트110E (전기버스),2020-07-21 ~ 2024-02-05,2024-08-10 ~,52 대,조향장치 기타,브라켓 용접불량(용접량 부족)으로 브라켓 이탈 시 회전 조향 애로 및 사고 발생 가능성이 확인됨에 따른 리콜,브라켓 보강 및 신품 교체,KGM커머셜 고객지원센터 080-644-6440
400,100,벤츠,A 220 Hatch 등 3차종 - 뒷면 안개등 표시 관련 리콜,5335,O,메르세데스벤츠코리아(주),"A 220 Hatch , A 250 , A 220 Sedan","A 220 Hatch , A 250 , A 220 Sedan",2018-06-21 ~ 2020-03-10,2024-08-09 ~,"1,069 대",승차 및 실내장치 기타,"계기반의 소프트웨어 오류로 인하여 계기반의 뒷면 안개등 식별표시가 법적 요구 사항을 만족하지 못할 수 있음에 따른 리콜 (뒷면 안개등은 정상적으로 작동함. 하지만 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조(조종장치 등)의 5항을 만족하지 못할 수 있음)
<대상차량별 생산일자>
A 220 Hatch: 2018.08.16~2019.05.24
A 250: 2018.06.21~2018.06.25
A 220 Sedan: 2020.03.10",계기판 소프트웨어 업데이트,벤츠코리아 대표번호 080-001-1886
401,100,벤츠,C 300 4MATIC - 12V 및 48V 접지 연결 볼트 관련 리콜,5334,O,메르세데스벤츠코리아(주),C 300 4MATIC,C 300 4MATIC,2023-05-12 ~ 2023-12-02,2024-08-09 ~,2 대,전기장치 기타,"생산 공정 오류로 인해 12V 및 48V 접지선의 연결 볼트가 제대로 조여지지 않았을 수 있으며, 이러한 경우 접지선의 케이블 터미널이 정확히 고정되지 않아 전기 저항이 증가할 수 있으며 높은 전류가 흐를 경우 12V 및 48V의 접지선 연결 부위에 온도가 상승하여 화재의 위험을 완전히 배제할 수 없음이 확인됨에 따른 리콜",12V 및 48V 접지 연결 볼트 점검 및 필요 시 재장착,벤츠코리아 대표번호 080-001-1886
402,100,비엠더블유,BMW X5 xDrive35d 등 3차종 - 운전석 전방 에어백 모듈 관련 리콜,5333,O,비엠더블유코리아(주),"BMW X5 xDrive35d, BMW M550d xDrive, BMW 640i","BMW X5 xDrive35d, BMW M550d xDrive, BMW 640i",2014-02-11 ~ 2014-04-03,2024-08-08 ~,3 대,실내안전장치 기타,"운전석 전방 에어백 인플레이터 하우징의 용접 불량으로 극히 드문 경우, 인플레이터 하우징이 파열될 수 있으며 이런 경우 운전자에게 부상을 입힐 수 있는 가능성이 확인됨에 따른 리콜",운전석 전방 에어백 모듈을 교체함,비엠더블유 대표번호 080-269-5181
403,100,비엠더블유,BMW 1 Series Sport 등 71차종 - 운전석 전방 에어백 모듈 관련 리콜,5331,O,비엠더블유코리아(주),BMW 1 Series Sport 등 71차종,BMW 1 Series Sport 등 71차종,2004-03-17 ~ 2017-11-08,2024-08-08 ~,"113,197 대",실내안전장치 기타,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인됨. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며, 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있음. 이런 경우 사고 시 운전석 전방 에어백이 비정상적으로 전개되어 인플레이터 본체가 파열될 수 있으며, 운전자에게 상해를 입힐 수 있는 가능성이 확인됨에 따른 리콜
<대상차명>
BMW 1 Series Sport, BMW 1 Series Urban, BMW 114i, BMW 116d, BMW 116I, BMW 118d, BMW 118I, BMW 120d, BMW 120i, BMW 218D, BMW 220d Coupe, BMW 316d, BMW 318D, BMW 318i, BMW 320d, BMW 320d ED, BMW 320d EffDyn Edition, BMW 320d EfficientDynamics Edition, BMW 320d Gran Turismo, BMW 320d Gran Turismo xDrive, BMW 320d Touring, BMW 320d xDrive, BMW 320d xDrive Gran Turismo, BMW 320d xDrive Touring, BMW 320i, BMW 320I, BMW 323i, BMW 325d, BMW 325i, BMW 325xi, BMW 328i, BMW 328I, BMW 328i Gran Turismo, BMW 328xi, BMW 330d, BMW 330D XDR, BMW 330i, BMW 330xi, BMW 335d, BMW 335i, BMW 335xi, BMW 420d Coupe, BMW 420d Gran Coupe, BMW 420d xDrive Coupe, BMW 420d xDrive Gran Coupe, BMW 420i Coupe, BMW 420i Gran Coupe, BMW 518D, BMW 520d, BMW 520d Touring, BMW 520D XDR, BMW 520d xDrive, BMW 520I, BMW 523i, BMW 525d, BMW 528i, BMW 528i xDrive, BMW 530D, BMW 535i, BMW 535i GT, BMW 535i GT xDrive, BMW 550i xDrive, BMW 640d xDrive Gran Coupe, BMW 640i Gran Coupe, BMW 650I, BMW Gran Turismo 30d,
BMW Gran Turismo 30d xDrive, BMW Gran Turismo 35i xDrive, BMW Gran Turismo EfficientDynamics Edition, BMW GT 20d, BMW GT
<대상차량별 생산일자는 상이할 수 있으며, 첨부된 파일(비엠더블유 - 비엠더블유_운전석 전방 에어백 모듈 리콜 대상 차량별 생산일자)을 참고하여 주시기 바랍니다.>","스티어링 휠을 점검하고 필요 시 운전석 전방 에어백 모듈을 교체함
(신속한 리콜 점검과 고객님의 편의를 위해 온라인 웹 사이트를 통한 점검을 실시(안내문 내용 참조)합니다. 다만 온라인 점검 방법이 어려우실 경우 서비스센터 방문을 통해서 점검 및 조치를 받으실 수 있습니다.)",비엠더블유 대표번호 080-269-5181
404,101,비엠더블유,BMW i5 eDrive40 등 13차종 - BCP 컨트롤 유닛(전동식 에어컨 컴프레셔 제어장치) 관련 리콜,6050,O,비엠더블유코리아(주),"BMW i5 eDrive40, BMW i5 M60 xDrive, BMW i5 xDrive40, BMW i7 eDrive50, BMW i7 M70 xDrive, BMW i7 xDrive60, BMW iX M60, BMW iX xDrive40, BMW iX xDrive50, BMW iX1 xDrive30, BMW iX2 eDrive20, MINI Countryman E, MINI Countryman SE ALL4","BMW i5 eDrive40, BMW i5 M60 xDrive, BMW i5 xDrive40, BMW i7 eDrive50, BMW i7 M70 xDrive, BMW i7 xDrive60, BMW iX M60, BMW iX xDrive40, BMW iX xDrive50, BMW iX1 xDrive30, BMW iX2 eDrive20, MINI Countryman E, MINI Countryman SE ALL4",2020-10-19 ~ 2025-02-27,2026-02-04 ~,"9,914 대",전기장치 기타,"BCP 컨트롤 유닛(전동식 에어컨 컴프레셔 제어장치) 소프트웨어 설계 오류로 인해 일부 작동조건에서 전동식 에어컨 컴프레셔가 잘못 제어되어 고장이 발생할 수 있으며, 이로 인해 매우 드문 경우 차량이 정차 또는 주행 중 고전압 시스템 차단되며, 주행 중인 차량의 경우 서서히 정지될 수 있는 가능성이 확인됨에 따른 리콜 (운전자는 비정상적인 에어컨 컴프레셔 작동 소음이나 에어컨 작동 불량을 통해 고장을 알 수 있으며, 중앙 모니터에 체크 컨트롤 메시지가 표시될 수 있음.)
<대상차량별 생산일자>
BMW i5 eDrive40: 2022.07.29
BMW i5 eDrive40: 2023.06.29~2023.10.25
BMW i5 eDrive40: 2023.07.04~2023.10.17
BMW i5 eDrive40: 2023.10.31~2024.06.27
BMW i5 eDrive40: 2023.11.09~2024.02.23
BMW i5 eDrive40: 2024.06.28~2025.02.25
BMW i5 M60 xDrive: 2023.06.27~2024.06.27
BMW i5 M60 xDrive: 2024.07.05~2025.02.19
BMW i5 xDrive40: 2024.03.07~2024.06.19
BMW i5 xDrive40: 2024.02.14~2024.04.17
BMW i5 xDrive40: 2024.06.27~2025.02.21
BMW i5 xDrive40: 2024.07.11~2025.02.25
BMW i7 eDrive50: 2023.06.30~2024.06.21
BMW i7 eDrive50: 2024.06.27~2025.02.18
BMW i7 M70 xDrive: 2024.04.15
BMW i7 M70 xDrive: 2023.07.28~2024.06.13
BMW i7 M70 xDrive: 2024.07.16~2025.02.21
BMW i7 xDrive60: 2022.02.15
BMW i7 xDrive60: 2022.12.08~2023.02.27
BMW i7 xDrive60: 2022.07.01~2023.06.27
BMW i7 xDrive60: 2023.07.26~2024.06.25
BMW i7 xDrive60: 2024.06.27~2025.02.25
BMW iX M60: 2022.03.29~2022.05.16
BMW iX M60: 2022.12.21~2023.06.22
BMW iX M60: 2023.07.04~2024.06.13
BMW iX M60: 2024.06.27~2025.02.24
BMW iX xDrive40: 2021.08.02~2021.11.18
BMW iX xDrive50: 2020.10.19~2022.09.12
BMW iX xDrive50: 2021.08.05~2022.06.30
BMW iX xDrive50: 2022.06.10~2022.10.28
BMW iX xDrive50: 2022.12.09~2023.02.27
BMW iX xDrive50: 2022.10.21~2023.06.26
BMW iX xDrive50: 2023.06.19~2024.06.25
BMW iX xDrive50: 2024.06.13~2024.12.17
BMW iX1 xDrive30: 2023.03.10
BMW iX1 xDrive30: 2022.11.08~2023.06.29
BMW iX1 xDrive30: 2022.12.13~2023.06.28
BMW iX1 xDrive30: 2023.07.06~2024.06.28
BMW iX1 xDrive30: 2023.07.12~2024.06.21
BMW iX1 xDrive30: 2024.07.04~2025.02.27
BMW iX2 eDrive20: 2024.03.01~2024.06.25
BMW iX2 eDrive20: 2024.07.05~2024.09.16
MINI Countryman E: 2024.02.23~2024.10.25
MINI Countryman SE ALL4: 2023.11.30~2025.02.24","오류가 개선된 소프트웨어로 업데이트하며, 해당 문제의 원인으로 인해 에어컨 고장이 발생된 경우 에어컨 관련 장치를 교체함 (03/2025.71 또는 그 이상 버전이 설치되어 있다면 추가 업데이트가 필요 하지 않음)
<단, 일부 차량의 경우 오류가 개선된 소프트웨어 (SW version 03/2025.71)가 무선 소프트웨어 업데이트 또는 BMW 서비스센터 방문을 통해 이미 완료되었을 수 있으며, 이런 경우 추가 조치가 필요하지 않을 수 있음. 자세한 사항은 제작사 고객센터(080-269-5181)로 문의하여 주시기 바랍니다.>",비엠더블유 대표번호 080-269-5181
405,101,비엠더블유,BMW 220i Active Tourer 등 7차종 - 통합제동장치 관련 리콜,6049,O,비엠더블유코리아(주),"BMW 220i Active Tourer, BMW 530i xDrive, BMW i7 xDrive60, BMW iX1 xDrive30, BMW X1 sDrive20i, BMW X5 xDrive40i, BMW X7 xDrive40i","BMW 220i Active Tourer, BMW 530i xDrive, BMW i7 xDrive60, BMW iX1 xDrive30, BMW X1 sDrive20i, BMW X5 xDrive40i, BMW X7 xDrive40i",2023-01-26 ~ 2024-08-16,2026-02-04 ~,10 대,제동장치 기타,"통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 수 있으며, 신호 장애가 발생하면 안전모드로 전환되어 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성에 따른 리콜
<대상차량별 생산일자>
BMW 220i Active Tourer: 2023.01.26
BMW 220i Active Tourer: 2024.07.27~2024.08.16
BMW 530i xDrive: 2024.02.14
BMW i7 xDrive60: 2023.09.19
BMW iX1 xDrive30: 2023.06.27
BMW X1 sDrive20i: 2023.05.10
BMW X5 xDrive40i: 2023.08.17
BMW X7 xDrive40i: 2024.05.13
BMW X7 xDrive40i: 2023.03.24",품질이 개선된 통합제동장치로 교체,비엠더블유 대표번호 080-269-5181
406,101,벤츠,Mercedes-AMG E 53 Hybrid 4MATIC+ - 변속기 배선 관련 리콜,6048,O,메르세데스벤츠코리아(주),Mercedes-AMG E 53 Hybrid 4MATIC+,Mercedes-AMG E 53 Hybrid 4MATIC+,2024-10-29 ~ 2025-01-27,2026-01-30 ~,28 대,전기장치 기타,"개발 및 생산공정 편차로 인해 구동축과 변속기 배선 사이의 간격이 좁을 수 있으며, 이런 경우 변속기 배선이 전방 구동축과 간섭되어 손상될 수 있고 그 결과로 주행 중 차량의 추진력이 상실되어 사고의 위험이 증가할 수 있는 가능성이 확인됨에 따른 리콜",변속기 배선 경로 점검 및 필요 시 재작업,벤츠코리아 대표번호 080-001-1886
407,102,비엠더블유,BMW X5 M Competition 등 7차종 - 엔진제어장치의 소프트웨어 관련 리콜,5329,O,비엠더블유코리아(주),"BMW X5 M Competition, BMW X5 M60i xDrive, BMW X6 M Competition, BMW X6 M60i xDrive, BMW X7 M60i xDrive, BMW XM, BMW XM Label","BMW X5 M Competition, BMW X5 M60i xDrive, BMW X6 M Competition, BMW X6 M60i xDrive, BMW X7 M60i xDrive, BMW XM, BMW XM Label",2022-07-15 ~ 2024-03-08,2024-08-01 ~,"1,961 대",원동기(동력발생장치) 기타,"엔진제어장치의 소프트웨어 오류로 인해 VVL 관련 자기 진단에 의한 MIL 점등이 불가하여, 자기진단장치를 통한 정상적인 배출가스 감시를 방해할 수 있음에 따른 리콜
<대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은
제작사 고객센터(080-269-5181)로 문의
하여 주시기 바랍니다.>",엔진제어장치의 소프트웨어를 업데이트 함,비엠더블유 대표번호 080-269-5181
408,103,현대,GV80 등 2차종 - 전동 사이드스탭 관련 리콜,5320,O,현대자동차(주),"GV80 (JX1), GV80쿠페 (JX1)","GV80 (JX1), GV80쿠페 (JX1)",2021-11-23 ~ 2024-05-18,2024-07-31 ~,"3,142 대",기타장치 기타,"전동 사이드스탭의 차체 고정부와 연료탱크 간격 협소로 측면 기둥 충돌 시 사이드스탭이 연료탱크를 타격하여 연료탱크 손상 및 연료 누유로 화재가 발생할 수 있는 가능성에 따른 리콜
<대상차량별 생산일자>
GV80 (JX1): 2021.11.23~2024.05.18
GV80쿠페 (JX1): 2023.11.24~2024.05.03","전동 사이드스탭 개선품, 연료탱크 충격부 보호 브라켓 장착 등",제네시스 대표번호 080-700-6000
409,103,현대,투싼 등 3차종 - 전자제어유압장치(HECU) 관련 리콜,5319,O,현대자동차(주),"투싼(LM), 엑센트(RB) 디젤, i40(VF)","투싼(LM), 엑센트(RB) 디젤, i40(VF)",2009-06-26 ~ 2014-10-31,2024-07-30 ~,"178,489 대",제동장치 기타,"전자제어유압장치(HECU) 내부 밀폐 성능 저하 등으로 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손이 발생할 수 있는 가능성에 따른 리콜
<*대상차량별 생산일자>
투싼(LM): 2009.06.26~2013.06.30
엑센트(RB) 디젤: 2010.05.21~2014.10.31
i40(VF): 2011.05.17~2014.10.30",엔진룸 정션박스내 HECU 개선퓨즈 장착 (합선 발생 시 전원 차단하여 소손 예방),현대자동차 대표번호 080-600-6000
410,103,테슬라,Model Y - 전조등 빔 패턴 관련 리콜,5318,O,테슬라코리아 유한회사,Model Y,Model Y,2023-06-07 ~ 2024-06-18,2024-07-26 ~,"22,072 대",등화장치 기타,"중국에서 생산된 차량은 KMVSS(한국 자동차 안전 기준)에서 규정하고 있는 전조등 빔 패턴이 적용되어야 하나, 펌웨어 오류로 인하여 FMVSS(미국 자동차 안전 기준)가 적용되었음이 확인됨에 따른 리콜","OTA(over-the-air)를 통한 2024.20.6 또는 이후 버전으로 업데이트
(KMVSS 전조등 빔 패턴 적용)",테슬라 대표번호 080-617-1399
411,105,기아,니로EV - 세이프티 플러그 관련 리콜,5310,O,기아 주식회사,니로EV (DE EV),니로EV (DE EV),2021-07-22 ~ 2022-02-08,2024-07-24 ~,"1,986 대",전기장치 기타,세이프티 플러그 제조 불량으로 인해 비정상적인 과열이 발생하여 세이프티 플러그의 소손 및 차량 주행 불가 발생 가능성이 확인됨에 따른 리콜,세이프티 플러그 제거 후 동일 기능의 퓨즈박스 부품으로 교환,기아자동차 대표번호 080-200-2000
412,106,기아,레이 - 운전석 안전띠 고정 브라켓 관련 리콜,5308,O,기아 주식회사,레이 (TAM),레이 (TAM),2024-01-24 ~ 2024-01-29,2024-07-22 ~,175 대,승차 및 실내장치 기타,운전석 안전띠 고정 브라켓 용접부 제조 불량으로 인해 자동차 고정벽면정면충돌 안전기준을 만족하지 못하는 결함이 확인됨에 따른 리콜,운전석 쿠션 프레임 앗세이 교환,기아자동차 대표번호 080-200-2000
413,106,기아,봉고Ⅲ - 락 너트 관련 리콜,5307,O,기아 주식회사,봉고Ⅲ (PU),봉고Ⅲ (PU),2023-08-18 ~ 2023-09-06,2024-07-22 ~,747 대,주행장치 기타,"리어 휠 구동축 락 너트 제조 불량으로 인해 나사산 물림량 부족하여 락 너트 체결 헐거움으로 주행 중 경고등 점등되며, 지속 주행 시 휠&타이어 이탈 가능성이 확인됨에 따른 리콜","리어 휠 구동축 락 너트 교환
<단, 일부 차량의 경우 기존 무상수리로 이미 리콜에 해당하는 조치가 완료되어 추가 조치는 필요하지 않을 수 있으므로 자세한 사항은 제작사 고객센터(080-200-2000)으로 문의하여 주시기 바랍니다>",기아자동차 대표번호 080-200-2000
414,106,기아,K5 등 2차종 - 전자제어유압장치(HECU) 관련 리콜,5306,O,기아 주식회사,"K5 (TF), K5 하이브리드 (TF HEV)","K5 (TF), K5 하이브리드 (TF HEV)",2010-05-04 ~ 2015-06-24,2024-07-22 ~,"210,283 대",제동장치 기타,"전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성에 따른 리콜
<대상차량별 생산일자>
K5 (TF): 2010.05.04~2015.06.24
K5 하이브리드 (TF HEV): 2011.05.03~2013.11.25","엔진룸 정션박스내 HECU 관련 퓨즈를 개선품으로 교환
(합선 발생 시 전원 차단하여 소손 예방)",기아자동차 대표번호 080-200-2000
415,106,현대,GV70 - 접지용(GND) 볼트 관련 리콜,5305,O,현대자동차(주),GV70 (JK1),GV70 (JK1),2024-03-11 ~ 2024-07-01,2024-07-18 ~,"2,782 대",기타장치 기타,"접지용(GND) 볼트가 다른 사양으로 잘못 조립(신규라인 생산)되었을 수 있으며, 이런 경우 지속 운행 시 시동불량 및 주행 중 시동꺼짐 가능성이 확인됨에 따른 리콜",접지용(GND) 볼트 교체,제네시스 대표번호 080-700-6000
416,107,기아,쏘렌토 - 전자제어유압장치(HECU) 관련 리콜,5295,O,기아 주식회사,쏘렌토 (XM),쏘렌토 (XM),2010-07-05 ~ 2014-08-21,2024-07-15 ~,"139,478 대",제동장치 기타,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성에 따른 리콜,"엔진룸 정션박스내 HECU 관련 퓨즈를 개선품으로 교환
(합선 발생 시 전원 차단하여 소손 예방)",기아자동차 대표번호 080-200-2000
