id,page_no,maker,title,recall_id,ctype,maker_detail,car_name,car_name_full,생산기간,시정기간,대상수량,장치분류,결함내용,시정방법,기타문의
189,12,비엠더블유,BMW 120 등 10차종 - 뒷좌석 외측 안전띠 리트렉터 관련 리콜,5922,O,비엠더블유코리아(주),"BMW 120, BMW iX1 eDrive20, BMW iX1 xDrive30, BMW M135 xDrive, BMW X1 M35i xDrive, BMW X1 sDrive18d, BMW X1 xDrive20i, BMW X2 M35i xDrive, BMW X2 xDrive20i, MINI Countryman S ALL4","BMW 120, BMW iX1 eDrive20, BMW iX1 xDrive30, BMW M135 xDrive, BMW X1 M35i xDrive, BMW X1 sDrive18d, BMW X1 xDrive20i, BMW X2 M35i xDrive, BMW X2 xDrive20i, MINI Countryman S ALL4",2025-08-05 ~ 2025-09-29,2025-11-18 ~,292 대,실내안전장치 기타,"뒷좌석 외측 안전띠 리트렉터 내 CS센서가 부정확하게 장착되었을 수 있으며, 이런 경우 차량의 급제동이나 급회전, 전복 상황에서 안전띠가 고정되지 않아 승객의 부상 위험이 증가할 수 있는 가능성이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제103조제1항 및 제112조의3에 부적합 할 수 있음)
<대상차량별 생산일자>
BMW 120: 2025.08.08~2025.09.29
BMW iX1 eDrive20: 2025.09.20~2025.09.22
BMW iX1 xDrive30: 2025.08.06~2025.09.22
BMW M135 xDrive: 2025.08.22~2025.09.24
BMW X1 M35i xDrive: 2025.08.07~2025.08.08
BMW X1 sDrive18d: 2025.08.07~2025.08.08
BMW X1 xDrive20i: 2025.08.07~2025.09.18
BMW X2 M35i xDrive: 2025.08.05~2025.08.06
BMW X2 xDrive20i: 2025.08.05~2025.08.07
MINI Countryman S ALL4: 2025.08.06~2025.09.04","뒷좌석 외측(좌측이나 우측 또는 양측) 안전띠 리트렉터를 점검하고, CS센서가 부정확하게 장착되어 있는 경우 정상적으로 생산된 좌석 안전띠로 교체함",비앰더블유 대표번호 080-269-5181
190,12,벤츠,G 450 d - 전면 근거리 센서 관련 리콜,5921,O,메르세데스벤츠코리아(주),G 450 d,G 450 d,2025-04-25 ~ 2025-04-25,2025-11-14 ~,1 대,주행장치 기타,"공급업체의 생산 공정 편차로 인해 특정 전면 근거리 센서 회로기판의 전기 연결부(통로)가 요구사양을 충족하지 못할 수 있으며, 이런 경우 물체 감지 성능이 충분하지 않을 수 있으며, 운전자 보조 기능이 경고 없이 비활성화 될 수 있음. 또한, 자율 제동(부분 또는 완전) 기능이 정상적으로 작동하지 않을 수 있으며, 그 결과로 운전자가 보조 시스템에만 의존할 경우 충돌 위험이 증가할 수 있는 가능성이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제 90조의 3(비상자동제동장치)를 만족시키지 못할 수 있음)",전면 근거리 레이더 센서 교체,벤츠코리아 대표번호 080-001-1886
191,13,현대,쏠라티 - 조수석 에어백 인플레이터 관련 리콜,5920,O,현대자동차(주),쏠라티 (EU),쏠라티 (EU),2023-02-01 ~ 2025-03-06,2025-11-14 ~,736 대,실내안전장치 기타,조수석 에어백 인플레이터 용기의 제조불량으로 인해 저온조건에서 에어백 전개 시 인플레이터 용기가 파열되어 승객이 상해를 입을 수 있는 가능성이 확인됨에 따른 리콜,조수석 에어백 모듈 및 메인 와이어링 교체,현대자동차 대표번호 080-600-6000
192,15,기아,봉고Ⅲ 전기차 - 배터리관리시스템(BMS) 관련 리콜,5905,O,기아 주식회사,봉고Ⅲ 전기차 (PU EV),봉고Ⅲ 전기차 (PU EV),2020-01-15 ~ 2025-04-15,2025-10-30 ~,"54,532 대",전기장치 기타,"배터리관리시스템(BMS) 진단로직 설계 미흡으로 배터리셀 미세 단락 등 문제 발생 시 이를 사전에 감지하지 못할 수 있으며, 이런 경우 고전압배터리 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜","배터리관리시스템(BMS), 차량제어장치(VCU) 소프트웨어 업데이트 및 업데이트 후 배터리 경고등 점등 시 고전압배터리 시스템 어셈블리(BSA) 교환
(고장코드 : P1AA700, P1AA800, P1AA900, P1AAA00, P1AAB00, P1AAC00, P1AAD00, P1AAE00, P1AAF00, P1AD300, P1AD500, P1AD600, P1AD100, P1AB000)",기아자동차 대표번호 080-200-2000
193,15,현대,포터II 일렉트릭 - 배터리관리시스템(BMS) 관련 리콜,5904,O,현대자동차(주),포터II 일렉트릭 (HR EV),포터II 일렉트릭 (HR EV),2019-07-19 ~ 2025-03-05,2025-10-30 ~,"85,355 대",전기장치 기타,배터리관리시스템(BMS) 진단로직 설계 미흡으로 배터리셀 미세 단락 등 문제 발생 시 이를 사전에 감지하지 못할 수 있으며 이런 경우 고전압배터리 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜,"배터리관리시스템(BMS), 차량제어장치(VCU) 소프트웨어 업데이트 및 업데이트 후 배터리 경고등 점등 시 시스템 어셈블리(BSA) 교환
(고장코드: P1AA700, P1AA800, P1AA900, P1AAA00, P1AAB00, P1AAC00, P1AAD00, P1AAE00, P1AAF00, P1AD300, P1AD500, P1AD600, P1AD100, P1AB000)",현대자동차 대표번호 080-600-6000
194,16,기아,셀토스 등 2차종 - 디젤 매연포집필터(DPF) 관련 리콜,5912,O,기아 주식회사,"셀토스 (SP2), 스포티지 (QL)","셀토스 (SP2), 스포티지 (QL)",2021-01-04 ~ 2021-12-31,2025-10-29 ~,"8,057 대",원동기(동력발생장치) 기타,"엔진 제어장치(ECU)의 디젤 매연포집필터(DPF) 재생 관련 소프트웨어 설정 미흡으로 디젤 매연포집필터(DPF)의 손상에 의한 엔진 경고등 점등 및 배기가스 배출량 증가 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
셀토스 (SP2): 2021.01.04~2021.12.31
스포티지 (QL): 2021.01.25~2021.07.09",엔진 제어장치(ECU) 소프트웨어 업데이트,기아자동차 대표번호 080-200-2000
195,16,기아,셀토스 등 2차종 - 연료필터 관련 리콜,5901,O,기아 주식회사,"셀토스 (SP2), 스포티지 (QL)","셀토스 (SP2), 스포티지 (QL)",2018-06-29 ~ 2021-12-31,2025-10-29 ~,"29,680 대",연료장치 기타,"고압펌프 및 연료계 부품 내부 잔존 연료필터 유리섬유 등 이물로 고압펌프 내부 손상 가능성이 있으며, 이런 경우 연료 분사가 정상적으로 작동되지 않아 주행 중 시동이 꺼질 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
셀토스 (SP2): 2019.07.04~2021.12.31
스포티지 (QL): 2018.06.29~2021.07.09","엔진제어장치(ECU) 업데이트 및 고장코드(P0087) 점검 후 필요 시 관련 부품 교환 (고압펌프, 연료필터 등 연료계 부품 / 점검 결과에 따라 부품 교환 범위 다름)",기아자동차 대표번호 080-200-2000
196,16,현대,코나 등 2차종 - 연료필터 관련 리콜,5900,O,현대자동차(주),"코나 (OS), 투싼 (TL)","코나 (OS), 투싼 (TL)",2018-01-15 ~ 2020-09-28,2025-10-29 ~,"16,204 대",연료장치 기타,"고압펌프 및 연료계 부품 내부 잔존 연료필터 유리섬유 등 이물질로 인해 고압펌프 내북 손상될 수 있으며, 이런 경우 연료 분사가 정상적으로 작동되지 않아 주행 중 시동이 꺼질 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
코나 (OS): 2018.03.29~2020.08.29
투싼 (TL): 2018.01.15~2020.09.28","엔진제어장치(ECU) 업데이트 및 고장코드(P0087) 점검 후 필요 시 관련부품 교환 (고압펌프, 연료필터 등 연료계 부품 / 점검 결과에 따라 부품 교환 범위 다름)",현대자동차 대표번호 080-600-6000
197,17,비엠더블유,BMW 320d 등 30차종 - 스타터 모터 관련 리콜,5894,O,비엠더블유코리아(주),BMW 320d 등 30차종,BMW 320d 등 30차종,2016-05-23 ~ 2021-03-10,2025-10-24 ~,"71,010 대",전기장치 기타,"스타터 모터 내 수분이 유입될 수 있으며, 이런 경우 스타터 모터 내 단락이 발생되면 국부적으로 과열이 발생할 수 있어, 극히 드문 경우 차량 운행 및 주차 중 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜 (만약 장기간 주차를 하실 경우, 리콜전담센터(080-269-5181)로 연락하셔서 임시 조치에 대해 안내받으시기 바랍니다.)
<대상차량별 생산일자>
BMW 320d: 2020.07.10
BMW 320d: 2018.11.05~2020.09.16
BMW 320d Touring: 2020.02.28~2020.07.21
BMW 320d xDrive: 2018.11.12~2020.09.08
BMW 320i: 2019.12.02~2020.09.17
BMW 320i Touring: 2020.02.20~2020.07.22
BMW 330i: 2019.02.12
BMW 330i: 2018.11.14~2020.02.06
BMW 330i xDrive: 2019.12.13
BMW 330i xDrive: 2019.01.25~2021.03.10
BMW 330i xDrive: 2019.10.02
BMW 330i xDrive: 2018.11.05~2020.02.06
BMW 520d: 2016.09.13~2018.06.14
BMW 520d: 2018.06.11~2020.06.30
BMW 520d xDrive: 2020.02.28
BMW 520d xDrive: 2016.05.23~2018.06.14
BMW 520d xDrive: 2018.06.11~2020.06.30
BMW 520d xDrive: 2019.10.17
BMW 520i: 2020.06.15~2020.07.30
BMW 520i: 2018.12.05
BMW 520i: 2019.06.12~2020.06.30
BMW 520i: 2019.09.20~2020.02.12
BMW 523d: 2020.06.15~2020.09.01
BMW 523d xDrive: 2020.06.18~2020.09.01
BMW 525i: 2020.07.09
BMW 530i: 2020.06.15~2020.09.01BMW 530i: 2019.09.23
BMW 530i: 2019.06.11~2020.06.30
BMW 530i xDrive: 2020.07.29~2020.11.25
BMW 530i xDrive: 2020.06.16~2020.09.01
BMW 530i xDrive: 2019.09.30~2020.05.13
BMW 530i xDrive: 2019.06.13~2020.06.29
BMW 620d: 2020.06.29~2020.07.30
BMW 620d Luxury: 2018.06.11~2020.06.30
BMW 620d xDrive: 2020.06.15~2020.07.29
BMW 620d xDrive Luxury: 2018.06.11~2020.06.29
BMW 730Li: 2020.06.29
BMW X3 sDrive: 2019.10.09~2020.03.17
BMW X3 xDrive: 2019.12.19~2020.10.08
BMW X3 xDrive20d: 2017.08.28~2019.03.25
BMW X3 xDrive20d: 2019.03.11~2020.12.10
BMW X3 xDrive20i: 2019.07.29~2020.12.15
BMW X4 xDrive: 2020.09.24
BMW X4 xDrive: 2020.01.08
BMW X4 xDrive20d: 2018.06.15~2019.03.25
BMW X4 xDrive20d: 2019.03.14~2020.12.15
BMW X4 xDrive20i: 2019.07.30~2020.12.15
BMW X4 xDrive25i: 2020.09.01
BMW Z4 sDrive: 2019.04.30
BMW Z4 sDrive20i: 2018.11.19~2020.09.01","수분 유입이 방지된 새로운 스타터 모터로 교체함
(2025년 10월 24일부터 1년 6개월 이상 실시합니다. 다만. 본 시정조치는 전세계적인 리콜로 부품 수급이 원활하지 않아 서비스센터 예약 및 수리가 지연될 수 있습니다. 리콜 예약은 리콜전담센터(080-269-5181)에서 통합 관리되므로, 리콜전담센터로 연락하여 예약을 진행해주시기 바랍니다.)",비엠더블유 대표번호 080-269-5181
198,17,현대,아이오닉6 - 충전도어 관련 리콜,5861,O,현대자동차(주),아이오닉6 (CE),아이오닉6 (CE),2022-08-17 ~ 2024-10-29,2025-10-24 ~,"24,705 대",차체/차대 기타,"충전도어 커버 설계 미흡으로 인해 체결력이 부족하여, 주행 중 부품 이탈로 인한 사고 발생 가능성이 있는 것으로 확인됨에 다른 리콜",충전도어 탈거 후 에폭시 도포 및 재 장착,현대자동차 대표번호 080-600-6000
199,18,현대,GV60 - 앞면창유리 상단 몰딩 관련 리콜,5891,O,현대자동차(주),GV60(JW),GV60(JW),2021-10-05 ~ 2024-07-01,2025-10-22 ~,"10,617 대",차체/차대 기타,"앞면창유리 상단 몰딩 제조 불량으로 인해 접착력이 저하될 수 있으며, 이런 경우 주행 중 앞면창유리 상단 몰딩 본체에서 표면부가 이탈하여 사고를 초래할 수 있는 가능성이 확인됨에 따른 리콜","앞면창유리 상단 몰딩 개선품 교환
<단, 일부 차량의 경우 기존 무상수리로 이미 리콜에 해당하는 조치가 완료되어 추가 조치가 필요하지 않을 수 있으므로, 자세한 사항은 제작사 고객센터(080-600-6000)으로 문의하여 주시기 바랍니다.>",현대자동차 대표번호 080-700-6000
200,18,비엠더블유,BMW iX3 M Sport - 전기 구동 시스템 관련 리콜,5890,O,비엠더블유코리아(주),BMW iX3 M Sport,BMW iX3 M Sport,2021-06-09 ~ 2024-10-31,2025-10-22 ~,"5,980 대",원동기(동력발생장치) 기타,"구동모터 내 브러시 모듈의 제조 또는 조립 과정에서 유입된 이물질로 인하여 브러시 모듈과 하우징 사이에 전도성 연결을 생성할 수 있으며, 이런 경우 전기 감전이나 화재 발생의 위험이 없으나, 고전압과 접지 사이의 절연저항 이상감지가 과도하게 적용되어 경고등 점등 및 중앙 모니터에 체크 컨트롤 메시지가 표시되고, 매우 드문 경우 차량이 운행 중 서서히 정지할 수 있는 가능성이 확인됨에 따른 리콜","절연 저항 이상감지 기능이 개선(불필요한 시동 꺼짐 방지)된 소프트웨어로 업데이트하고, 브러시 모듈의 이물질로 인한 경고등이 점등될 경우 브러시 모듈을 청소하고 아이솔레이션 디스크를 장착함",비엠더블유 대표번호 080-269-5181
201,18,비엠더블유,BMW X7 xDrive40i 등 7차종 - 엔진컨트롤유닛(DME) 소프트웨어 관련 리콜,5899,O,비엠더블유코리아(주),"BMW X7 xDrive40i, BMW X6 xDrive40i M Sport, BMW X5 xDrive40i, BMW 740i, BMW 740i xDrive, BMW 750e xDrive, BMW X5 xDrive50e","BMW X7 xDrive40i, BMW X6 xDrive40i M Sport, BMW X5 xDrive40i, BMW 740i, BMW 740i xDrive, BMW 750e xDrive, BMW X5 xDrive50e",2022-07-26 ~ 2025-03-17,2025-10-21 ~,"4,263 대",원동기(동력발생장치) 기타,"엔진컨트롤유닛(DME)에 프로그래밍 오류가 있는 것으로 확인되었으며, 이런 경우 특수한 상황에서 법적 규정(배출값)이 준수되지 않을 수 있는 가능성에 따른 리콜
<대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-269-5181)로 문의하여 주시기 바랍니다.>",오류가 개선된 소프트웨어로 업데이트,비엠더블유 리콜전담센터 080-269-5181
202,19,케이지모빌리티,무쏘 EV - 고전압 인터락 회로 관련 리콜,5884,O,케이지모빌리티 주식회사(KG Mobility Corp.),무쏘 EV,무쏘 EV,2025-02-25 ~ 2025-09-23,2025-10-15 ~,"6,580 대",기타장치 기타,고전압은 정상적으로 인가되나 고전압 인터락 회로에서 비정상적인 인터락 신호가 발생되어 경고등 점등 및 지속 주행 시 차량이 멈출 수 있는 가능성이 확인됨에 따른 리콜,"고전압 인터락 진단 강건화 로직이 반영된 BMS, EHVCU 소프트웨어 업데이트
<단, 일부 차량의 경우 이미 리콜에 해당하는 조치가 완료되어 추가 조치가 필요하지 않을 수 있으므로, 자세한 사항은 제작사 고객센터(080-500-5582)로 문의하여 주시기 바랍니다.>",케이지모빌리티 대표번호 080-500-5582
203,19,비엠더블유,MINI Cooper SE 등 2차종 - 고전압 배터리 셀 모듈 관련 리콜,5882,O,스텔란티스코리아 주식회사,"MINI Cooper SE, MINI Aceman SE","MINI Cooper SE, MINI Aceman SE",2022-10-06 ~ 2023-08-28,2025-10-15 ~,486 대,원동기(동력발생장치) 기타,"고전압 배터리 셀 모듈의 제조 오류로 고전압 배터리 셀 모듈 내 음극, 양극 판 정렬이 올바르게 되지 않을 수 있으며, 이런 경우 고전압 배터리 셀 모듈 내부에서 단락이 발생될 수 있고 열확산이 일어나 차량 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
MINI Cooper SE: 2024.03.25~2024.06.20
MINI Aceman SE: 2023.11.13",하이브리드 컨트롤 프로세서(HCP)와 고전압배터리 컨트롤 모듈(BPCM)의 프로그램을 최신버전으로 업데이트,스텔란티스코리아 대표번호 080-365-2470
204,20,비엠더블유,BMW 220i Active Tourer 등 15차종 - 안전띠 관련 리콜,5881,O,비엠더블유코리아(주),"BMW 220i Active Tourer, BMW iX1 xDrive30, BMW X1 M35i xDrive, BMW X1 M35i xDrive, BMW X1 sDrive18d, BMW X1 xDrive20i, BMW X2 xDrive20i,  MINI Cooper C, MINI Cooper C Five-door, MINI Cooper S, MINI Cooper S Convertible, MINI Cooper S five-door, MINI Countr","BMW 220i Active Tourer, BMW iX1 xDrive30, BMW X1 M35i xDrive, BMW X1 M35i xDrive, BMW X1 sDrive18d, BMW X1 xDrive20i, BMW X2 xDrive20i,  MINI Cooper C, MINI Cooper C Five-door, MINI Cooper S, MINI Cooper S Convertible, MINI Cooper S five-door, MINI Countryman S ALL4, MINI John Cooper Works, MINI John Cooper Works Countryman ALL4",2025-06-20 ~ 2025-08-25,2025-10-13 ~,246 대,실내안전장치 기타,"앞 좌석 안전띠 리트렉터 토션바가 생산 컨베이어 시스템에 설정 오류로 생산 중 손상되었을 수 있으며, 이런 경우 충돌이나 사고 위험 상황에서 안전띠 고정 기능이 저하되어 필요한 탑승자 보호 기능을 제공하지 못할 수 있으며, 부상 위험이 증가할 수 있는 가능성에 따른 리콜
<대상차량별 생산일자>
BMW 220i Active Tourer: 2025.06.26~2025.08.25
BMW iX1 xDrive30: 2025.06.20~2025.07.14
BMW X1 M35i xDrive: 2025.06.20
BMW X1 M35i xDrive: 2025.06.23
BMW X1 sDrive18d: 2025.06.23~2025.07.16
BMW X1 xDrive20i: 2025.06.20~2025.07.28
BMW X2 xDrive20i: 2025.06.20~2025.06.30
MINI Cooper C: 2025.07.21~2025.07.22
MINI Cooper C Five-door: 2025.07.04~2025.07.08
MINI Cooper S: 2025.07.22
MINI Cooper S Convertible: 2025.07.09
MINI Cooper S five-door: 2025.07.04~2025.07.22
MINI Countryman S ALL4: 2025.06.25~2025.07.03
MINI John Cooper Works: 2025.06.26~2025.07.09
MINI John Cooper Works Countryman ALL4: 2025.06.30~2025.07.07",문제가 발생될 수 있는 앞 좌석 안전띠(좌측이나 우측 또는 양측)를 정상적으로 생산된 좌석 안전띠로 교체,비엠더블유 대표번호 080-269-5181
205,20,볼보,S90 - 차대 및 차체 관련 리콜,5869,O,(주)볼보자동차코리아,2026년식 S90,2026년식 S90,2025-04-23 ~ 2025-08-08,2025-10-13 ~,428 대,차체/차대 기타,"공정상의 오류로 실런트 도포 지점이 방화벽의 스티어링 칼럼홀에서 멀어진 것이 확인되었으며, 이런 경우 차량 바닥의 카펫 및 단열재가 젖을 수 있으며 전기 커넥터가 물에 젖을 경우 경고등이 점등되고 SRS 기능이 상실되거나 엔진이 정지될 수 있는 가능성에 따른 리콜",수분 유입 여부 점검 후 스티어링 칼럼홀의 규정된 영역에 실런트를 도포함,볼보자동차 대표번호 1588-1777
206,20,비엠더블유,MINI Cooper SE - 고전압 배터리 셀 모듈 관련 리콜,5880,O,비엠더블유코리아(주),MINI Cooper SE,MINI Cooper SE,2024-03-25 ~ 2024-05-17,2025-10-10 ~,4 대,연료장치 기타,"고전압 배터리 셀 모듈의 제조 과정 중 고전압 배터리 셀이 물리적으로 손상되었을 수 있으며, 이런 경우 고전압 배터리 셀 모듈 내부에서 단락이 발생될 수 있고 열확산이 일어나 차량 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜",문제가 발생될 수 있는 고전압 배터리 특정 셀 모듈을 정상적으로 제작된 고전압 배터리 셀 모듈로 교체,바엠더블유 리콜전담센터 080-269-5181
207,20,비엠더블유,MINI Cooper SE 등 2차종 - 고전압 배터리 셀 모듈 관련 리콜,5879,O,비엠더블유코리아(주),"MINI Cooper SE, MINI Aceman SE","MINI Cooper SE, MINI Aceman SE",2023-11-18 ~ 2024-06-20,2025-10-10 ~,16 대,연료장치 기타,"고전압 배터리 셀 모듈의 제조 오류로 고전압 배터리 셀 모듈 내 음극, 양극 판 정렬이 올바르게 되지 않을 수 있으며, 이런 경우 고전압 배터리 셀 모듈 내부에서 단락이 발생될 수 있고 열확산이 일어나 차량 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
MINI Cooper SE: 2024.03.25~2024.06.20
MINI Aceman SE: 2023.11.13",문제가 발생될 수 있는 고전압 배터리 특정 셀 모듈을 정상적으로 제작된 고전압 배터리 셀 모듈로 교체,비엠더블유 리콜전담센터 080-269-5181
208,22,현대,i30 - 운전석 에어백 인플레이터 관련 리콜,5860,O,현대자동차(주),i30 (FD),i30 (FD),2011-04-01 ~ 2011-06-09,2025-09-26 ~,61 대,승차 및 실내장치 기타,"운전석 에어백 전개 시 인플레이터의 과도한 내부 압력 증가로 인해 인플레이터 용기가 파손될 수 있으며, 이런 경우 승객이 상해를 입을 수 있는 가능성에 따른 리콜",인플레이터 교환,현대자동차 대표번호 080-600-6000
209,22,현대,파비스 - 엔진제어장치(ECU) 관련 리콜,5859,O,현대자동차(주),파비스 (QV),파비스 (QV),2025-02-05 ~ 2025-08-03,2025-09-26 ~,"1,291 대",전기장치 기타,엔진제어장치(ECU) 소프트웨어 오적용으로 인해 엔진 최고출력이 제원과 상이하여 '자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제106조(원동기 출력) 1호' 안전기준에 적합하지 않고 대기환경보전법 기준 배출가스 관련 부품인 엔진제어장치(ECU) 소프트웨어 조치 필요 및 배출가스 관련 표지 오부착한 제작결함이 존재하는 것으로 판명됨에 따른 리콜,엔진제어장치(ECU) 소프트웨어 업데이트 및 배출가스 관련 표지판 교체,현대자동차 대표번호 080-600-6000
210,23,기아,봉고Ⅲ - 장력조절장치(텐셔너) 관련 리콜,5857,O,기아 주식회사,봉고Ⅲ(PU),봉고Ⅲ(PU),2023-12-05 ~ 2025-02-05,2025-09-25 ~,"33,990 대",원동기(동력발생장치) 기타,"장력조절장치(텐셔너) 고정볼트 체결부 형상 설계 불량이 있을 수 있으며, 이로 인해 장력조절장치(텐셔너) 고정볼트 풀림으로 구동벨트가 이탈되는 경우 파워스티어링 펌프 작동불량으로 핸들 조향이 정상적으로 되지 않을 수 있는 가능성에 따른 리콜","개선된 장력조절장치(텐셔너)로 교환
<단, 일부 차량의 경우 이미 리콜에 해당하는 조치가 완료되어 추가 조치가 필요하지 않을 수 있으므로, 자세한 사항은 제작사 고객센터(080-200-2000)으로 문의하여 주시기 바랍니다.>",기아자동차 대표번호 080-200-2000
211,23,현대,포터2 - 장력조절장치(텐셔너) 관련 리콜,5856,O,현대자동차(주),포터2(HR),포터2(HR),2023-11-29 ~ 2025-03-04,2025-09-25 ~,"60,934 대",원동기(동력발생장치) 기타,"장력조절장치(텐셔너) 고정볼트 체결부 형상 설계 불량이 있을 수 있으며, 이로 인해 장력조절장치(텐셔너) 고정볼트 풀림으로 구동벨트가 이탈되는 경우 파워스티어링 펌프 작동불량으로 핸들 조향이 정상적으로 되지 않을 수 있는 가능성이 확인됨에 따른 리콜","개선된 장력조절장치(텐셔너) 교환
<단, 일부 차량의 경우 이미 리콜에 해당하는 조치가 완료되어 추가 조치는 필요하지 않을 수 있으므로, 자세한 사항은 제작사 고객센터(080-600-6000)으로 문의하여 주시기 바랍니다.>",현대자동차 대표번호 080-600-6000
212,23,르노,XM3 하이브리드 등 2차종 - 연료 펌프 모듈 관련 리콜,5851,O,르노코리아(주),"XM3 하이브리드, ARKANA 하이브리드","XM3 하이브리드, ARKANA 하이브리드",2022-09-30 ~ 2025-06-24,2025-09-25 ~,"8,562 대",연료장치 기타,"모터만 작동하는 EV모드에서 엔진이 구동하는 모드로 변환 시 특정 조건에서 연료 펌프에 공급되는 전원이 차단/공급되는 로직으로 인해 연료 펌프 컨트롤 유닛의 커패시터의 열화가 발생할 수 있으며, 이런 경우 운행 중 엔진 경고등 점등 또는 경고 메시지가 표시된 후 시동이 꺼질 수 잇고, 재시동이 불가능 할 수 있는 가능성에 따른 리콜
<대상차량별 생산일자>
XM3 하이브리드: 2022.09.30~2024.03.26
ARKANA 하이브리드: 2024.04.01~2025.06.24",HECM 및 HEVC 소프트웨어 업데이트 실시,르노코리아 대표번호 080-300-3000
213,24,기아,EV3 등 2차종 - A필러(LH) 트림 관련 리콜,5850,O,기아 주식회사,"EV3, EV4","EV3, EV4",2025-07-01 ~ 2025-07-09,2025-09-24 ~,164 대,실내안전장치 기타,"A필러(LH) 트림 테더클립 미체결로 커튼 에어백 전개 시 A필러(LH) 트림이 이탈되어 고객 상해 발생 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
EV3: 2025.07.01~205.07.09
EV4: 2025.07.01~2025.07.08","A필러(LH) 트림 테더클립 체결유무 재확인 뒤, 미체결 시 정상체결 작업 진행",기아자동차 대표번호 080-200-2000
214,24,볼보트럭,FH 트랙터 등 2차종 - 가변축 조종장치 관련 리콜,5847,O,볼보트럭코리아(주),"FH 트랙터, FM 트랙터","FH 트랙터, FM 트랙터",2009-06-15 ~ 2014-03-06,2025-09-19 ~,"1,581 대",기타장치 기타,"가변축 조종장치 작동하중이 국내 안전기준에 부적합하여 구동축에 걸리는 하중이 10톤을 초과한 이후에서야 가변축 자동하강 기능이 작동할 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
FH 트랙터(FH62TB3HH1): 2009.06.25~2014.01.08
FM 트랙터(FM62TB1HHM): 2012.01.25~2014.03.06
FM 트랙터(FM62TB3HHM): 2009.06.15~2013.12.17",가변축 제어 소프트웨어 업데이트,볼보트럭코리아 대표번호 080-038-1000
215,24,비엠더블유,BMW X1 xDrive20i 등 5차종 - 정화조절밸브 관련 리콜,5855,O,비엠더블유코리아(주),"BMW X1 xDrive20i, BMW X2 xDrive20i, BMW X5 xDrive40i, BMW X6 xDrive40i, BMW X7 xDrive40i","BMW X1 xDrive20i, BMW X2 xDrive20i, BMW X5 xDrive40i, BMW X6 xDrive40i, BMW X7 xDrive40i",2020-06-24 ~ 2021-10-25,2025-09-18 ~,"8,907 대",원동기(동력발생장치) 기타,"정화조절밸브의 댐핑놉(Damping Knob)의 내구성이 충분히 확보되지 않아 파손될 수 있으며, 이런 경우 증발가스의 조절이 어려울 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-269-5181)로 문의하여 주시기 바랍니다.>",정화조절밸브를 개선품으로 교체함,비엠더블유 리콜전담센터 080-269-5181
216,24,비엠더블유,BMW 320d Gran Turismo 등 3차종 - 산소감지기 관련 리콜,5854,O,비엠더블유코리아(주),"BMW 320d Gran Turismo, BMW 420d Gran Coupe, BMW 420d","BMW 320d Gran Turismo, BMW 420d Gran Coupe, BMW 420d",2019-11-28 ~ 2020-08-24,2025-09-18 ~,"2,450 대",원동기(동력발생장치) 기타,"배출가스시스템에 수분이 응축되는 경우 산소감지기가 파손될 수 있으며, 이런 경우 정상적인 배출가스 감시활동을 방해할 수 있음이 확인됨에 따른 리콜
<대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-269-5181)로 문의하여 주시기 바랍니다.>",산소감지기를 개선품으로 교환,비엠더블유 리콜전담센터 080-269-5181
217,25,현대,팰리세이드 등 2차종 - 후드 래치 관련 리콜,5835,O,현대자동차(주),"팰리세이드 (LX3), 팰리세이드 하이브리드(LX3 HEV)","팰리세이드 (LX3), 팰리세이드 하이브리드(LX3 HEV)",2024-12-24 ~ 2025-07-19,2025-09-16 ~,"27,656 대",차체/차대 기타,"후드 래치 설계 강건성 부족으로 주행 중 후드 열림으로 인한 운전자 전방 시야 확보 불가 및 주행 안정성 저하 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
팰리세이드 (LX3): 2024.12.24~2025.07.19
팰리세이드 하이브리드(LX3 HEV): 2025.03.21~2025.07.18",후드 래치 개선 부품으로 교체,현대자동차 대표번호 080-600-6000
